Element,Attribute,Value,Subfigure
0,X,0.0,A
0,Y,3.3157921198612343,A
1,X,0.25839793281653745,A
1,Y,3.052673917779752,A
2,X,0.5167958656330749,A
2,Y,2.5762958990430542,A
3,X,0.7751937984496124,A
3,Y,2.4145703799292764,A
4,X,1.0335917312661498,A
4,Y,2.391945566374499,A
5,X,1.2919896640826873,A
5,Y,2.1724010792874022,A
6,X,1.550387596899225,A
6,Y,2.135531012753691,A
7,X,1.8087855297157622,A
7,Y,1.9557894384018504,A
8,X,2.0671834625322996,A
8,Y,1.8514639092326,A
9,X,2.3255813953488373,A
9,Y,1.78777924885619,A
10,X,2.5839793281653747,A
10,Y,1.7760478640500097,A
11,X,2.842377260981912,A
11,Y,1.7538420285240244,A
12,X,3.10077519379845,A
12,Y,1.7039836430977555,A
13,X,3.359173126614987,A
13,Y,1.6780070053126417,A
14,X,3.6175710594315245,A
14,Y,1.6407179607501383,A
15,X,3.875968992248062,A
15,Y,1.588345707151117,A
16,X,4.134366925064599,A
16,Y,1.4748026613484388,A
17,X,4.392764857881137,A
17,Y,1.453015803851246,A
18,X,4.651162790697675,A
18,Y,1.431228946354053,A
19,X,4.909560723514212,A
19,Y,1.430809968325261,A
20,X,5.167958656330749,A
20,Y,1.4190785835190802,A
21,X,5.426356589147287,A
21,Y,1.342824582278905,A
22,X,5.684754521963824,A
22,Y,1.3407296921349443,A
23,X,5.943152454780361,A
23,Y,1.1714625685029076,A
24,X,6.2015503875969,A
24,Y,1.1643399420134408,A
25,X,6.459948320413437,A
25,Y,1.140039216343495,A
26,X,6.718346253229974,A
26,Y,1.1186713368750942,A
27,X,6.976744186046512,A
27,Y,1.081382292312591,A
28,X,7.235142118863049,A
28,Y,1.0461881378940487,A
29,X,7.493540051679586,A
29,Y,0.9841793896328076,A
30,X,7.751937984496124,A
30,Y,0.9192377951700214,A
31,X,8.010335917312661,A
31,Y,0.8982888937304128,A
32,X,8.268733850129198,A
32,Y,0.8869764869530241,A
33,X,8.527131782945736,A
33,Y,0.8853005748378554,A
34,X,8.785529715762275,A
34,Y,0.8366991234979637,A
35,X,9.043927648578812,A
35,Y,0.8299954750372891,A
36,X,9.30232558139535,A
36,Y,0.8165881781159395,A
37,X,9.560723514211887,A
37,Y,0.8044378152809667,A
38,X,9.819121447028424,A
38,Y,0.7482947594228159,A
39,X,10.077519379844961,A
39,Y,0.7382392867318037,A
40,X,10.335917312661499,A
40,Y,0.7177093633209874,A
41,X,10.594315245478036,A
41,Y,0.6980173959677555,A
42,X,10.852713178294573,A
42,Y,0.6749736043841861,A
43,X,11.11111111111111,A
43,Y,0.6707838240962644,A
44,X,11.369509043927648,A
44,Y,0.6414553620808124,A
45,X,11.627906976744185,A
45,Y,0.6376845598216829,A
46,X,11.886304909560723,A
46,Y,0.6372655817928907,A
47,X,12.144702842377262,A
47,Y,0.6347517136201378,A
48,X,12.4031007751938,A
48,Y,0.6192495265548275,A
49,X,12.661498708010337,A
49,Y,0.6163166803532824,A
50,X,12.919896640826874,A
50,Y,0.6050042735758937,A
51,X,13.178294573643411,A
51,Y,0.5882451524242068,A
52,X,13.436692506459949,A
52,Y,0.5853123062226617,A
53,X,13.695090439276486,A
53,Y,0.5840553721362851,A
54,X,13.953488372093023,A
54,Y,0.5685531850709749,A
55,X,14.21188630490956,A
55,Y,0.5672962509845983,A
56,X,14.470284237726098,A
56,Y,0.5652013608406374,A
57,X,14.728682170542635,A
57,Y,0.5429955253146524,A
58,X,14.987080103359173,A
58,Y,0.541738591228276,A
59,X,15.24547803617571,A
59,Y,0.5354539207963934,A
60,X,15.503875968992247,A
60,Y,0.5312641405084717,A
61,X,15.762273901808786,A
61,Y,0.5182758216159145,A
62,X,16.020671834625322,A
62,Y,0.4809867770534113,A
63,X,16.27906976744186,A
63,Y,0.480148820995827,A
64,X,16.537467700258397,A
64,Y,0.4621327657577637,A
