Subfigure,Element,Attribute,Value
A,0,TaxonomyLevel,Academia
A,0,TaxonomyValue,Academia
A,0,OldHireGiniCoefficient,0.751
A,0,NewHireGiniCoefficient,0.734
A,1,TaxonomyLevel,Field
A,1,TaxonomyValue,Accounting
A,1,OldHireGiniCoefficient,0.539
A,1,NewHireGiniCoefficient,0.387
A,2,TaxonomyLevel,Field
A,2,TaxonomyValue,Aerospace Engineering
A,2,OldHireGiniCoefficient,0.637
A,2,NewHireGiniCoefficient,0.608
A,3,TaxonomyLevel,Field
A,3,TaxonomyValue,Agricultural Economics
A,3,OldHireGiniCoefficient,0.622
A,3,NewHireGiniCoefficient,0.52
A,4,TaxonomyLevel,Field
A,4,TaxonomyValue,Agricultural Engineering
A,4,OldHireGiniCoefficient,0.601
A,4,NewHireGiniCoefficient,0.433
A,5,TaxonomyLevel,Field
A,5,TaxonomyValue,Agronomy
A,5,OldHireGiniCoefficient,0.63
A,5,NewHireGiniCoefficient,0.454
A,6,TaxonomyLevel,Field
A,6,TaxonomyValue,Anatomy
A,6,OldHireGiniCoefficient,0.486
A,6,NewHireGiniCoefficient,0.191
A,7,TaxonomyLevel,Field
A,7,TaxonomyValue,Animal Sciences
A,7,OldHireGiniCoefficient,0.668
A,7,NewHireGiniCoefficient,0.447
A,8,TaxonomyLevel,Field
A,8,TaxonomyValue,Anthropology
A,8,OldHireGiniCoefficient,0.632
A,8,NewHireGiniCoefficient,0.546
A,9,TaxonomyLevel,Field
A,9,TaxonomyValue,Architecture
A,9,OldHireGiniCoefficient,0.623
A,9,NewHireGiniCoefficient,0.52
A,10,TaxonomyLevel,Field
A,10,TaxonomyValue,Art History and Criticism
A,10,OldHireGiniCoefficient,0.69
A,10,NewHireGiniCoefficient,0.559
A,11,TaxonomyLevel,Field
A,11,TaxonomyValue,Asian Languages
A,11,OldHireGiniCoefficient,0.636
A,11,NewHireGiniCoefficient,0.487
A,12,TaxonomyLevel,Field
A,12,TaxonomyValue,Asian Studies
A,12,OldHireGiniCoefficient,0.645
A,12,NewHireGiniCoefficient,0.541
A,13,TaxonomyLevel,Field
A,13,TaxonomyValue,Astronomy
A,13,OldHireGiniCoefficient,0.678
A,13,NewHireGiniCoefficient,0.458
A,14,TaxonomyLevel,Field
A,14,TaxonomyValue,Atmospheric Sciences and Meteorology
A,14,OldHireGiniCoefficient,0.595
A,14,NewHireGiniCoefficient,0.438
A,15,TaxonomyLevel,Field
A,15,TaxonomyValue,Biochemistry
A,15,OldHireGiniCoefficient,0.643
